,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
33,5.65083,0.13383,5.65003,0.16802,5.65083,0.15059,5.65003,0.0324,5.65003,0.2959,5.65083,0.03116,5.65003,0.01026,5.65083,0.13298,5.65003,0.06825,5.65083,0.03955,5.66,6.55932,5.65003,0.31553
34,5.67055,0.03962,5.66973,0.03384,5.67055,0.13361,5.66973,0.29043,5.66973,0.22654,5.67055,0.18939,5.66973,0.16114,5.67055,0.14679,5.66973,0.06404,5.67055,0.2594,5.68,0.13294,5.66973,0.31238
35,5.69027,0.13367,5.68943,0.01731,5.69027,0.05531,5.68943,0.18693,5.68943,0.00803,5.69027,0.01038,5.68943,0.08725,5.69027,0.07615,5.68943,0.25107,5.69027,0.04277,5.7,2.70722,5.68943,0.2065
36,5.71,0.14266,5.70913,0.29037,5.71,0.11294,5.70913,0.22863,5.70913,0.22048,5.71,0.09584,5.70913,0.36397,5.71,0.06105,5.70913,0.13633,5.71,0.0841,5.72,2.28216,5.70913,0.1544
37,5.72972,0.04203,5.72883,0.17565,5.72972,0.06933,5.72883,0.41279,5.72883,0.23086,5.72972,0.04058,5.72883,0.12491,5.72972,0.16507,5.72883,0.05773,5.72972,0.01303,5.74,1.64225,5.72883,0.01365
38,5.74944,0.07842,5.74852,0.29103,5.74944,0.18493,5.74852,0.51764,5.74852,0.14223,5.74944,0.147,5.74852,0.14713,5.74944,0.20963,5.74852,0.21206,5.74944,0.00811,5.76,1.434,5.74852,0.11607
39,5.76916,0.00618,5.76822,0.0689,5.76916,0.05682,5.76822,0.50352,5.76822,0.10514,5.76916,0.01056,5.76822,0.03067,5.76916,0.00292,5.76822,0.19584,5.76916,0.16196,5.78,5.0109,5.76822,0.1046
40,5.78888,0.06434,5.78792,0.08719,5.78888,0.000935526,5.78792,0.84661,5.78792,0.17679,5.78888,0.00678,5.78792,0.08907,5.78888,0.10713,5.78792,0.14744,5.78888,0.13725,5.8,3.58846,5.78792,0.06718
41,5.80861,0.04977,5.80762,0.03838,5.80861,0.01529,5.80762,1.03765,5.80762,0.57789,5.80861,0.07512,5.80762,0.09551,5.80861,0.05977,5.80762,0.38347,5.80861,0.0266,5.82,2.66667,5.80762,0.20187
42,5.82833,0.14997,5.82732,0.22193,5.82833,0.07782,5.82732,0.92452,5.82732,0.36403,5.82833,0.06118,5.82732,0.07696,5.82833,0.0811,5.82732,0.13442,5.82833,0.08131,5.84,0.75446,5.82732,0.05804
43,5.84805,0.05375,5.84701,0.20661,5.84805,0.11392,5.84701,1.08262,5.84701,0.00479,5.84805,0.000985912,5.84701,0.17395,5.84805,0.29446,5.84701,0.14801,5.84805,0.54611,5.86,0.67494,5.84701,0.44279
44,5.86777,0.10538,5.86671,0.09195,5.86777,0.04422,5.86671,2.00139,5.86671,0.21543,5.86777,0.08231,5.86671,0.31252,5.86777,0.01113,5.86671,0.32467,5.86777,0.09823,5.88,0.59476,5.86671,0.19381
45,5.88749,0.02816,5.88641,0.61809,5.88749,0.11343,5.88641,2.44403,5.88641,0.00356,5.88749,0.14529,5.88641,0.30566,5.88749,0.01402,5.88641,0.08064,5.88749,0.08688,5.9,2.48608,5.88641,0.10229
46,5.90722,0.04263,5.90611,0.01211,5.90722,0.1099,5.90611,3.13806,5.90611,0.01001,5.90722,0.10178,5.90611,0.21292,5.90722,0.09876,5.90611,0.02294,5.90722,0.11524,5.92,3.06757,5.90611,0.13057
47,5.92694,0.12811,5.92581,0.17706,5.92694,0.0854,5.92581,4.73165,5.92581,0.07663,5.92694,0.0054,5.92581,0.28562,5.92694,0.30262,5.92581,0.01809,5.92694,0.14363,5.94,0.64971,5.92581,0.06661
48,5.94666,0.05167,5.9455,0.09494,5.94666,0.06984,5.9455,6.37821,5.9455,0.32194,5.94666,0.00495,5.9455,0.22613,5.94666,0.18908,5.9455,0.41003,5.94666,0.18527,5.96,1.26749,5.9455,0.00722
49,5.96638,0.09915,5.9652,0.05236,5.96638,0.01346,5.9652,8.46136,5.9652,0.21685,5.96638,0.06411,5.9652,0.16673,5.96638,0.06237,5.9652,0.01989,5.96638,0.18064,5.98,4.81597,5.9652,0.02491
50,5.98611,0.05578,5.9849,0.22183,5.98611,0.22827,5.9849,12.28401,5.9849,0.1659,5.98611,0.04724,5.9849,0.20002,5.98611,0.12752,5.9849,0.25782,5.98611,0.11652,6,2.90008,5.9849,0.23577
51,6.00583,0.07185,6.0046,0.41679,6.00583,0.08595,6.0046,15.71652,6.0046,0.05995,6.00583,0.15477,6.0046,0.37229,6.00583,0.24565,6.0046,0.29786,6.00583,0.06663,6.02,4.98485,6.0046,0.59889
52,6.02555,0.04434,6.0243,0.26136,6.02555,0.09576,6.0243,20.08826,6.0243,0.19689,6.02555,0.000415779,6.0243,0.32639,6.02555,0.1522,6.0243,0.03927,6.02555,0.11087,6.04,0.57027,6.0243,0.10267
53,6.04527,0.11422,6.04399,0.05975,6.04527,0.03284,6.04399,24.12938,6.04399,0.07,6.04527,0.16226,6.04399,0.20885,6.04527,0.26384,6.04399,0.02047,6.04527,0.0055,6.06,1.65635,6.04399,0.20883
54,6.06499,0.15984,6.06369,0.23527,6.06499,0.00963,6.06369,30.34652,6.06369,0.12316,6.06499,0.02638,6.06369,0.02322,6.06499,0.01466,6.06369,0.18608,6.06499,0.06237,6.08,4.24308,6.06369,0.00367
55,6.08472,0.17454,6.08339,0.21739,6.08472,0.15839,6.08339,39.09683,6.08339,0.31849,6.08472,0.01652,6.08339,0.48686,6.08472,0.24922,6.08339,0.03428,6.08472,0.05313,6.1,2.16953,6.08339,0.29955
56,6.10444,0.05988,6.10309,0.19649,6.10444,0.06907,6.10309,49.55358,6.10309,0.08656,6.10444,0.21157,6.10309,0.15031,6.10444,0.0965,6.10309,0.47115,6.10444,0.01084,6.12,3.41852,6.10309,0.02569
57,6.12416,0.00992,6.12279,0.25336,6.12416,0.24432,6.12279,61.62417,6.12279,0.03076,6.12416,0.02308,6.12279,0.21069,6.12416,0.09584,6.12279,0.16733,6.12416,0.32572,6.14,3.50722,6.12279,0.31139
58,6.14388,0.07308,6.14248,0.0071,6.14388,0.1815,6.14248,77.55071,6.14248,0.08181,6.14388,2.38235E-05,6.14248,0.07274,6.14388,0.09515,6.14248,0.01079,6.14388,0.08508,6.16,0.09657,6.14248,0.17395
